% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 90.46    0.022517         201       112           recvfrom
  3.67    0.000914          91        10           close
  1.90    0.000474           4       109           sendto
  1.74    0.000434         434         1           futex
  0.32    0.000080           2        29           read
  0.30    0.000074          12         6           openat
  0.25    0.000061          61         1         1 connect
  0.23    0.000058           3        18           stat
  0.18    0.000045          45         1           write
  0.17    0.000043           7         6           mmap
  0.13    0.000032           4         7         5 ioctl
  0.11    0.000028           9         3           poll
  0.08    0.000019           6         3           clock_gettime
  0.07    0.000018           2         7           lseek
  0.07    0.000017           2         8           fstat
  0.07    0.000017           8         2           brk
  0.07    0.000017          17         1           socket
  0.04    0.000010          10         1           mprotect
  0.04    0.000009           9         1           getsockname
  0.03    0.000008           4         2           getdents64
  0.03    0.000007           7         1           getpeername
  0.02    0.000006           6         1           getsockopt
  0.02    0.000005           2         2           sigaltstack
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         1           rt_sigaction
------ ----------- ----------- --------- --------- ----------------
100.00    0.024893                   334         6 total
