% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 87.37    0.272088          76      3553           recvfrom
  4.77    0.014848           4      3502           sendto
  2.15    0.006706           3      2186           read
  1.17    0.003636           0      3787       377 stat
  1.00    0.003112           5       572           munmap
  0.74    0.002316           7       326        17 futex
  0.51    0.001579           1      1200        30 openat
  0.46    0.001433           1      1080           mmap
  0.42    0.001309           7       168           clock_gettime
  0.32    0.000991           0      2097           fstat
  0.27    0.000849           0      1185           close
  0.25    0.000775           0      1866         3 lseek
  0.14    0.000446           0       954       934 ioctl
  0.11    0.000344           1       174           mprotect
  0.10    0.000303           1       222           getdents64
  0.09    0.000269           5        48           write
  0.07    0.000203           0       581           getrandom
  0.03    0.000081           3        24        12 connect
  0.01    0.000037           1        27           poll
  0.01    0.000023           1        13           socket
  0.01    0.000016           0        19           getpid
  0.00    0.000015           7         2           pread64
  0.00    0.000009           1         9           getsockopt
  0.00    0.000006           0        14           getsockname
  0.00    0.000005           0         9           getpeername
  0.00    0.000004           2         2           rt_sigaction
  0.00    0.000002           2         1           getuid
  0.00    0.000002           2         1           sched_getaffinity
  0.00    0.000001           0         2           sigaltstack
  0.00    0.000000           0         1         1 lstat
  0.00    0.000000           0         6         5 access
  0.00    0.000000           0         3           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         2           setsockopt
  0.00    0.000000           0         1           link
  0.00    0.000000           0         2           unlink
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00    0.311408                 23642      1379 total
